pid,gender,age,education,employment,income,car_own,home,dest1,purp1,mode1,time1,dest2,purp2,mode2,time2,dest3,purp3,mode3,time3,dest4,purp4,mode4,time4,dest5,purp5,mode5,time5
101,1: male,28.0,4: master or phd,4: active,2: 750-1500,0: no,2.0,15,1: work,4: train,9,2,1: work,7: walk,18,1.0,5: recreation,8: escooter,22.0,2.0,2: return home,8: escooter,2.0,,,,
102,0: feamale,28.0,2: high school,3: student,0: no income,1: yes,12.0,12,3: education,1: car,11,22,5: recreation,1: car,17,10.0,6: service,1: car,21.0,,,,,,,,
103,0: feamale,27.0,3: bachelor,4: active,2: 750-1500,1: yes,15.0,15,1: work,7: walk,13,15,5: recreation,7: walk,14,,,,,,,,,,,,
104,0: feamale,18.0,4: master or phd,4: active,2: 750-1500,0: no,7.0,30,1: work,4: train,11,23,1: work,4: train,16,7.0,2: return home,4: train,21.0,,,,,,,,
105,1: male,18.0,4: master or phd,4: active,3: 1500-2500,1: yes,22.0,35,5: recreation,1: car,19,22,2: return home,1: car,20,,,,,,,,,,,,
106,1: male,28.0,2: high school,3: student,0: no income,1: yes,30.0,26,7: other,1: car,11,30,2: return home,1: car,15,,,,,,,,,,,,
107,1: male,23.0,3: bachelor,3: student,0: no income,1: yes,3.0,21,3: education,4: train,10,15,3: education,1: car,10,3.0,2: return home,4: train,16.0,,,,,,,,
108,0: feamale,23.0,3: bachelor,3: student,1: 750 or less,1: yes,15.0,15,1: work,7: walk,15,15,1: work,7: walk,18,,,,,,,,,,,,
109,1: male,23.0,3: bachelor,3: student,,0: no,21.0,21,5: recreation,7: walk,17,21,2: return home,7: walk,21,,,,,,,,,,,,
110,0: feamale,18.0,3: bachelor,3: student,4: 2500 or more,1: yes,9.0,9,5: recreation,7: walk,4,9,5: recreation,7: walk,22,,,,,,,,,,,,
111,1: male,21.0,2: high school,3: student,1: 750 or less,1: yes,12.0,22,1: work,4: train,13,18,1: work,4: train,18,,,,,,,,,,,,
112,1: male,23.0,3: bachelor,3: student,0: no income,1: yes,25.0,25,3: education,4: train,14,25,5: recreation,7: walk,18,,,,,,,,,,,,
113,1: male,26.0,3: bachelor,3: student,1: 750 or less,1: yes,15.0,15,3: education,3: bus,9,25,4: market,7: walk,18,,,,,,,,,,,,
114,0: feamale,62.0,3: bachelor,4: active,2: 750-1500,1: yes,15.0,1,1: work,7: walk,10,15,2: return home,7: walk,18,15.0,5: recreation,7: walk,21.0,,,,,,,,
115,0: feamale,64.0,2: high school,4: active,1: 750 or less,1: yes,26.0,21,1: work,4: train,9,26,2: return home,4: train,17,,,,,,,,,,,,
116,0: feamale,24.0,3: bachelor,4: active,1: 750 or less,1: yes,1.0,1,1: work,3: bus,10,1,2: return home,3: bus,15,,,,,,,,,,,,
117,1: male,25.0,3: bachelor,2: unemployed,1: 750 or less,1: yes,8.0,8,5: recreation,7: walk,20,15,7: other,7: walk,15,,,,,,,,,,,,
118,0: feamale,34.0,3: bachelor,4: active,2: 750-1500,1: yes,22.0,22,7: other,1: car,6,29,1: work,1: car,6,22.0,2: return home,1: car,19.0,,,,,,,,
119,1: male,22.0,2: high school,3: student,,0: no,21.0,21,7: other,7: walk,9,21,2: return home,7: walk,7,,,,,,,,,,,,
120,0: feamale,53.0,3: bachelor,4: active,3: 1500-2500,0: no,21.0,1,1: work,3: bus,8,21,2: return home,3: bus,17,,,,,,,,,,,,
121,1: male,19.0,2: high school,3: student,1: 750 or less,1: yes,36.0,36,5: recreation,1: car,9,36,1: work,1: car,13,36.0,4: market,1: car,19.0,,,,,,,,
122,1: male,29.0,3: bachelor,3: student,0: no income,1: yes,1.0,15,3: education,3: bus,13,1,2: return home,3: bus,18,35.0,5: recreation,4: train,20.0,,,,,,,,
123,1: male,25.0,3: bachelor,4: active,2: 750-1500,1: yes,25.0,15,1: work,3: bus,8,25,2: return home,3: bus,17,,,,,,,,,,,,
124,1: male,21.0,3: bachelor,3: student,1: 750 or less,1: yes,25.0,25,5: recreation,7: walk,19,28,5: recreation,4: train,19,,,,,,,,,,,,
